"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"98","lyngbya aestuarii","Lyngbya aestuarii (species in domain Bacteria) (inconsistent in Lyngbya (genus in domain Bacteria))",FALSE,945417,FALSE,"sibling_higher, inconsistent",2
"99","macrostomum tuba","Macrostomum tuba",FALSE,490206,FALSE,"",1
"100","mammillaria elongata","Mammillaria elongata",FALSE,346740,FALSE,"",1
"101","membranoptera subtropica","Polyneura subtropica",FALSE,4011155,TRUE,"",1
"102","methanosarcina mazei","Methanosarcina mazei",FALSE,993194,FALSE,"",1
"103","microcoleus chthonoplastes","Microcoleus chthonoplastes",FALSE,7644171,FALSE,"major_rank_conflict",2
"104","microcystis aeruginosa","Microcystis aeruginosa",FALSE,269069,FALSE,"",1
"105","craspedacusta sowerbii","Craspedacusta sowerbii",FALSE,127047,FALSE,"",1
"106","monoclea forsteri","Monoclea forsteri",FALSE,54768,FALSE,"",1
"107","morone saxatilis","Morone saxatilis",FALSE,223669,FALSE,"",1
"108","mus musculus","Mus musculus",FALSE,542509,FALSE,"",1
"109","myxococcus fulvus","Myxococcus fulvus",FALSE,939432,FALSE,"",1
"110","myxococcus xanthus","Myxococcus xanthus",FALSE,939454,FALSE,"sibling_higher",1
"111","nais variabilis","Nais variabilis",FALSE,549846,FALSE,"",1
"112","neomenia carinata","Neomenia carinata",FALSE,2849837,FALSE,"",1
"113","nodularia","Nodularia (genus in domain Bacteria)",FALSE,578646,FALSE,"sibling_higher",3
"114","nostoc","Nostoc",FALSE,893787,FALSE,"sibling_higher",1
"115","notholca acuminata","Notholca acuminata",FALSE,492241,FALSE,"",1
"116","cheiroglossa palmata","Cheiroglossa palmata",FALSE,733462,FALSE,"",1
"117","oscillatoria sancta","Oscillatoria sancta (species in domain Bacteria)",FALSE,602180,FALSE,"sibling_higher",2
"118","pandorina colemaniae","Pandorina colemaniae",FALSE,958304,FALSE,"",1
"119","pandorina morum","Pandorina morum",FALSE,1072227,FALSE,"",1
"120","pedicellina cernua","Pedicellina cernua",FALSE,362913,FALSE,"",1
"121","periplaneta americana","Periplaneta americana",FALSE,48288,FALSE,"",1
