species_name	Kingdom	Phylum	Oblig/Fac	Simple/Complex	SterileCells	SterileProp	Types	Number	Sex	Fission	Fragmentation	GermTime	GermTimeSimp	Type/Number	SomaTypes	Soma/Number	GermNumeric	species_rotl	species_simple_underscores
Gloeophycus koreanus	Plantae	Rhodophyta	obligate	complex	yes	NA	12	6.3096e+10	1	1	f	3	adult	1.90186382655002e-10	11	1.74337517433752e-10	2	gloeophycus koreanus	gloeophycus_koreanus
Gonium multicoccum	Plantae	Chlorophyta	obligate	simple	no	0	1	32	1	0	f	0	no_germline	0.03125	0	0	0	gonium multicoccum	gonium_multicoccum
Gonium pectorale	Plantae	Chlorophyta	obligate	simple	no	0	1	16	1	0	f	0	no_germline	0.0625	0	0	0	gonium pectorale	gonium_pectorale
Gonium quadratum	Plantae	Chlorophyta	obligate	simple	no	0	1	16	1	0	f	0	no_germline	0.0625	0	0	0	gonium quadratum	gonium_quadratum
Gonium viridistellatum	Plantae	Chlorophyta	obligate	simple	no	0	1	16	1	0	f	0	no_germline	0.0625	0	0	0	gonium viridistellatum	gonium_viridistellatum
Gymnoascus reessii	Fungi	Ascomycota	obligate	complex	yes	NA	5	15849	1	1	f	3	adult	0.000315477317180895	4	0.000252381853744716	2	gymnoascus reessii	gymnoascus_reessii
Halymenia asymmetrica	Plantae	Rhodophyta	obligate	complex	yes	NA	13	6.3096e+10	1	1	f	3	adult	2.06035247876252e-10	12	1.90186382655002e-10	2	halymenia asymmetrica	halymenia_asymmetrica
Haplospora globosa	Chromista	Ochrophyta	obligate	complex	yes	NA	4	2.5119e+10	0	1	b	3	adult	1.59242008041721e-10	3	1.19431506031291e-10	2	haplospora globosa	haplospora_globosa
Helminthostachys zeylanica	Plantae	Tracheophyta	obligate	complex	yes	NA	5	70794579	1	1	b	3	adult	7.06268766708818e-08	4	5.65015013367055e-08	2	helminthostachys zeylanica	helminthostachys_zeylanica
Heteroglossum carnosum	Plantae	Rhodophyta	obligate	complex	yes	NA	11	1e+09	1	1	f	3	adult	1.1e-08	10	1e-08	2	heteroglossum carnosum	heteroglossum_carnosum
Heteroralfsia saxicola	Chromista	Ochrophyta	obligate	complex	yes	NA	9	794328235	1	0	NA	3	adult	1.13303287022146e-08	8	1.00714032908575e-08	2	heteroralfsia saxicola	heteroralfsia_saxicola
Himantothallus grandifolius	Chromista	Ochrophyta	obligate	complex	yes	NA	14	1.58e+12	1	0	NA	3	adult	8.86075949367089e-12	13	8.22784810126582e-12	2	himantothallus grandifolius	himantothallus_grandifolius
Hirudo medicinalis	Animalia	Annelida	obligate	complex	yes	NA	26	1.9953e+10	1	0	none	1	early	1.30306219616098e-09	25	1.25294441938556e-09	1	hirudo medicinalis	hirudo_medicinalis
Hummia onusta	Chromista	Ochrophyta	obligate	complex	yes	NA	5	1e+08	1	0	NA	3	adult	5e-08	4	4e-08	2	hummia onusta	hummia_onusta
Hydra vulgaris	Animalia	Cnidaria	obligate	complex	yes	NA	15	63096	1	1	Budding	3	adult	0.000237732978318752	14	0.000221884113097502	2	hydra vulgaris	hydra_vulgaris
Hymenophyllum tunbridgense	Plantae	Tracheophyta	obligate	complex	yes	NA	15	7079457844	0	1	b	3	adult	2.11880631688666e-09	14	1.97755256242755e-09	2	hymenophyllum tunbridgense	hymenophyllum_tunbridgense
Isthmoplea sphaerophora	Chromista	Ochrophyta	obligate	complex	yes	NA	3	15849	1	1	b	3	adult	0.000189286390308537	2	0.000126190926872358	2	isthmoplea sphaerophora	isthmoplea_sphaerophora
Kurogiella saxatilis	Chromista	Ochrophyta	obligate	complex	yes	NA	7	2.5119e+10	0	0	NA	3	adult	2.78673514073012e-10	6	2.38863012062582e-10	2	kurogiella saxatilis	kurogiella_saxatilis
Laminaria dentigera	Chromista	Ochrophyta	obligate	complex	yes	NA	14	1.26e+11	1	0	f	3	adult	1.11111111111111e-10	13	1.03174603174603e-10	2	laminaria dentigera	laminaria_dentigera
Leathesia difformis	Chromista	Ochrophyta	obligate	complex	yes	NA	6	3.9811e+10	1	0	NA	3	adult	1.50712114742157e-10	5	1.25593428951797e-10	2	leathesia difformis	leathesia_difformis
